date,time,name,Ccontent,Tcontent,lon,lat
2014/1/14,1437,张阿扁到此一游,今天吃了两顿寿司，救火英雄教导我就算在黑暗和浓烟中也要相信前方一定会有阳光照射的出口，跟随心的方向一直前行。霆锋最后吸烟的样子真帅[酷]最后谢谢?????礼物[偷笑]，我很喜欢，谢谢,"Eat today two delicious sushi, fire-fighting hero taught me even in the darkness and smoke to believe that front will be the export of sunlight, with the direction of the blossoms have been ahead. Nicholas finally smoking looks really handsome [cool] Thank you gift last up [laughing], I like it very much, thank you",120.672691,27.780136
2014/1/14,1398,白痴小鬼头殇,不能再继续吃下去啦，得节制,"Can not continue to eat it, to control",120.984291,28.118116
2014/1/14,1371,魏尴尬,所有一切，让我觉得尴尬的关系，场合，事物，怎么才能断了、我最怕尴尬,"All, let me feel embarrassed relationship, the occasion, the thing, how can I break, I most afraid of embarrassment",120.560211,27.546289
2014/1/14,1345,JulieZhuuuuuu,半夜喝茶 啊会睡不着啊！,Tea in the middle of the night can not sleep ah!,-1,-1
2014/1/14,1310,驻足看,别人误以为我是一只穷苦，寂寞的小麻雀。其实，我是一只凤凰。——Coco Chanel,"Others mistakenly think I was a poor, lonely little sparrow. In fact, I was a phoenix. - Chanel Coco",120.689407,28.008893
2014/1/14,1267,淡淡淡淡的彡 ,巨忧桑，我家这一带的水管爆裂，听说要停好几天的水[泪][泪][泪]吃颗小草莓先。,"Ju Sang worry, my pipes burst this band, I heard a few days to stop the water [tears] [tears] [tears] to eat small pieces of strawberries first.",120.869293,28.081087
2014/1/14,1223,青姐姐Sandia,今天单枪匹马开车杀到杰哥哥家里，嚼着麦芽糖踏上第一次一个人开一辆车的征途，别人家一直要嫌弃我来的慢无奈只好减速让行，催的我，回家时候大头儿子特别不放心，比我妈妈还唠叨我说有车过来要是开不过去就挺着让别人先开，千叮咛万嘱咐慢慢开慢慢开。我真棒！,"Today, the immediate concern Jie Gege drove home alone, chewing maltose set foot for the first time a man driving a car journey, other people have been slow to despise me no choice but to reduce speed, urge, I go home when the bulk of his son especially do not worry, my mom nagging me than I say if you have a car come open but heavily overhauled to let others open, exhort slowly open slowly open. I am awesome!",-1,-1
2014/1/14,1191,二十好几的贪才好食,温州路全部是斜着的 画一天图现在拿手机都是斜着拿歪着头看,"Wenzhou Road, diagonally painted all one day mobile phones are now to take to get cocked his head sideways to see",120.655457,28.008029
2014/1/14,1159,呉德龙,在无聊打闹的时候 朋友是你最好的玩笑对象 在你需要帮助的时候 朋友是你最坚强的后盾 朋友不需要长长联系 但永远不会陌生,Silly slapstick when the friend is your best joke objects you need help when a friend is your most strong backing friends do not need long contact but never strangers,120.32387,27.46266
2014/1/14,1124,Candice_Jane,毁掉一个暗恋对象最好的办法就是像他表白，毁掉一个喜欢的人的最好办法就是选择和他在一起。,Destroy a crush as the best way is to tell him that the best way to destroy a person like him is to choose.,-1,-1
2014/1/14,1123,一fox小姐一 ,话说昨晚点了个五味小吃桶，今天把桶扔在垃圾桶旁边，刚回家的老妈风风火火地走进厨房惊呼一声：天呐谁吃了这么大一桶泡面……哈哈哈哈哈笑die！,"Saying last night ordered a snack barrel flavors, today threw the bucket next to the trash can, the mother just rush into the kitchen home exclamation: Oh my God who ate such a big bucket of instant noodles ...... ha ha ha ha ha laughing die!",-1,-1
2014/1/14,1278,龙港老友户外 ,马上过年了 老是出现伤亡的重大事故 很是伤感 希望大家能平平安安 快快乐乐过个好年 ,Now the New Year is always a major accident casualties it is sad hope that we can safely happily have a good year,120.522209,27.575287
2014/1/14,1263,升陽君,日子过得好单调,Getting monotonous days,120.495821,27.473724
2014/1/14,1245,温州机场彩虹服务 ,【飞重庆和武汉】原计划今日21:50温州—武汉—重庆的PN6236航班，由于流量控制的原因延误，起飞时间待定，有最新消息我们会及时更新的，旅客可拨打问讯电话：0577一85805729、85805730。,"[Fly] had planned to Chongqing and Wuhan 21:50 today Wenzhou - Wuhan - Chongqing PN6236 flight delays due to traffic control, departure time to be determined, we will have the latest news update, passengers can call Information Tel: 0577 a 85,805,729 , 85,805,730.",120.849019,27.917553
2014/1/14,1229,#NAME?,图书馆这只骄傲的猫，跟我一起学习,Library only proud cat with me to learn together,120.69585,27.92659576
2014/1/14,1210,喜欢戴眼镜的兔子,来张全家福,To Zhang family portrait,121.124931,27.885958
2014/1/14,1189,Yaime,我怎么觉得那么伤心,How do I feel so sad,120.899497,28.012657
2014/1/14,1175,牙牙乐乐吧吧,期末考结束[耶]陪娃娃们看动画片[做鬼脸]ps:神偷奶爸2（3D）,The final exam is over [] and accompany children watch cartoons [grimace]ps: thief daddy 2 (3D),-1,-1
2014/1/14,1142,改名换姓玩消失,回家之后几件事。1.看到我弟好开心。2.太公身体更差了，说话开始含糊，看到我很开心。3.看到琼丽，诶，我审美又低了吗，竟然觉得挺漂亮。4.丫子说明天来不了了。5.看到有人给自己过生日开始觉得很幸福。6.发现很多家里条件一般还拿iphone的。待续[呵呵],"Go home after a few things. 1. so happy to see my brother. 2. grandfather body even worse, talk began vague, very happy to see me. 3. When you see King Lai, eh, I aesthetic and low yet, even that pretty. 4. Yazi that day can not come. 5. Give yourself to see someone start to feel very happy birthday. 6. The general also found that many home conditions to get the iphone. Continued [Oh]",120.850997,28.031864
2014/1/14,1099,小眼睛的声悦,海苔肉松面包,"Seaweed, dried meat floss bread",121.160637,28.405993
2014/1/14,1084,爱是Iove你我,马上有钱，马上有钱！！！,"Have the money, and soon have the money!!!",120.687737,28.007038
2014/1/14,1055,有吧招聘网,世界上最遥远的距离，不是生与死，而是我在找你，你却在逃离,"The furthest distance in the world is not between life and death, but when I'm looking for you, you're running away.",-1,-1
2014/1/14,1027,夏日凉风丶ggg,麻痹，最后几天了学校食堂搞毛线？2个窗口给3个级段的人打饭，吃毛球？,"Paralysis, the last few days of the school cafeteria to engage in wool? 2 windows to the 3 stages of the person playing a meal, eat hair ball?",120.960562,28.107938
2014/1/14,4,GALA学着等等 ,欢快地跑去和老爸说老妈这次没有说难看，然后回到老妈面前的时候她说~~o(>_<)o ~~颜色老气，后面不卷[汗]突然无比想念那个唯一被老妈夸过的理发师,"Ran gaily to dad and said the mother did not say ugly, then back to mom before she said ~~o (> <) O ~ ~ color old-fashioned, behind don't roll sweat suddenly incomparable miss the only mother boast Barber",-1,-1
2014/1/14,599,山谷里的居民910,女孩谈恋爱，一定要干干脆脆。如相爱，咱们就奔着结婚去，约会、见朋友、去家里吃饭、一起存钱、长途旅行、同居、结婚。。。时间越长爱情越淡，青春越少。用青春赌爱情，输定了。,"Girl talk about love, be sure to dry crisp. Such as in love, we are going to get married, dating, see friends, go home to eat, save money, long distance travel, cohabitation, marriage... The longer the time is, the less the youth is. With youth gambling love, lost.",120.579254,27.481101
2014/1/14,566,sabrinalsn,我还是幸福的，至少在大冷的天可以开车上班，虽然车是便宜的。至少有个可爱的女儿陪伴着她喝醉酒似的学步，虽然她的脾气是拗的。至少孩子气的老公还是站在我的边上陪伴的，虽然享他给的福还要再等等的,"I was happy, at least in the cold weather can drive to work, although the car is cheap. At least a lovely daughter with her being drunk, although her temper. At least a child's husband is still standing on the edge of my company, and although he gave the blessing and so on.",120.5279,27.567886
2014/1/14,514,颜DickeyYan ,没有难度啊!轻松搞定。可以开店的节奏。。。祝我生日快乐,"No difficulty, easy to get. Can set up shop rhythm... Happy birthday to me",-1,-1
2014/1/14,470,hold金钱帝国 ,本周股市调整可能以缓和方式，即将迎来春节前的小红包。当然如果非理性急挫到1900左右，那就抢一季度大红包咯,"This week the stock market adjustment may ease the way, is about to usher in the new year before the red envelope. Of course, if the irrational plunge to around 1900, then grab a quarter of red packets.",-1,-1
2014/1/14,331,HELEN影视造型,《彼岸花开之黑色记忆》部份人物定妆完成[悠闲]剩下的伤效装根据导演和现场情况调,"The other side of the black memory part of the people set up a ""leisure"" and the rest of the injury effect according to the director and the scene",-1,-1
2014/1/14,110,小脚丫2450,强烈投诉温州附二医，11点排队排到凌晨2点，叫号牌从262才叫到268，这么多的病号就俩个医生在看，还有一个去了强救室，这边就一个医生做诊，你们的医德何在啊，太让人气愤了,"Strong complaints from Wenzhou Second Affiliated Hospital, 11 point queue until 2 o'clock in the morning, called plate from 262 is to 268, so much of the patient is both a doctor look at and a to strong save room, here is a doctor attending, you what medical ethics. That is one of the angry",120.667452,28.008029
2014/1/14,69,金不换你好,今天动物园太赞了！么么哒@蔡小白欧耶 介于明天还要去温州乐园一日游，所以现在要碎觉啦！！！外面还在淅淅沥沥的下雨！快停吧！！阿门！,"Today, the zoo is very good! Da @ Cai Xiaobai will go to Wenzhou park. Between the day tomorrow, so now to broken sleep!!! It was drizzling rain! Stop it!! Amen!",-1,-1
